project_id,project_type,source
ACR1000,hfc replacement in foam production,berkeley carbon trading project
ACR1001,hfc replacement in foam production,berkeley carbon trading project
ACR1002,improved forest management,berkeley carbon trading project
ACR1003,improved forest management,berkeley carbon trading project
ACR1004,improved forest management,berkeley carbon trading project
ACR1005,advanced refrigerants,berkeley carbon trading project
ACR1006,improved forest management,berkeley carbon trading project
ACR1007,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR1008,advanced refrigerants,berkeley carbon trading project
ACR1009,mine methane capture,berkeley carbon trading project
ACR1011,mine methane capture,berkeley carbon trading project
ACR1012,plugging oil & gas wells,berkeley carbon trading project
ACR1013,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR1014,hfc refrigerant reclamation,berkeley carbon trading project
ACR1015,improved forest management,berkeley carbon trading project
ACR1016,improved forest management,berkeley carbon trading project
ACR1019,improved forest management,berkeley carbon trading project
ACR102,sf6 replacement,berkeley carbon trading project
ACR1020,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR1021,hfc refrigerant reclamation,berkeley carbon trading project
ACR1022,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR1023,plugging oil & gas wells,berkeley carbon trading project
ACR1024,improved forest management,berkeley carbon trading project
ACR1025,improved forest management,berkeley carbon trading project
ACR1026,improved forest management,berkeley carbon trading project
ACR1027,improved forest management,berkeley carbon trading project
ACR1028,improved forest management,berkeley carbon trading project
ACR1029,improved forest management,berkeley carbon trading project
ACR103,manure methane digester,berkeley carbon trading project
ACR1030,improved forest management,berkeley carbon trading project
ACR1031,improved forest management,berkeley carbon trading project
ACR1032,advanced refrigerants,berkeley carbon trading project
ACR1034,advanced refrigerants,berkeley carbon trading project
ACR1036,advanced refrigerants,berkeley carbon trading project
ACR1037,improved forest management,berkeley carbon trading project
ACR1039,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR104,afforestation/reforestation,berkeley carbon trading project
ACR1040,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR1041,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR1042,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR1043,plugging oil & gas wells,berkeley carbon trading project
ACR1045,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR1046,avoided forest conversion,berkeley carbon trading project
ACR1047,hfc refrigerant reclamation,berkeley carbon trading project
ACR1048,hfc refrigerant reclamation,berkeley carbon trading project
ACR1049,hfc refrigerant reclamation,berkeley carbon trading project
ACR105,afforestation/reforestation,berkeley carbon trading project
ACR1050,hfc refrigerant reclamation,berkeley carbon trading project
ACR1051,mine methane capture,berkeley carbon trading project
ACR1052,improved forest management,berkeley carbon trading project
ACR1053,improved forest management,berkeley carbon trading project
ACR1054,improved forest management,berkeley carbon trading project
ACR1055,improved forest management,berkeley carbon trading project
ACR1056,improved forest management,berkeley carbon trading project
ACR1057,improved forest management,berkeley carbon trading project
ACR1058,improved forest management,berkeley carbon trading project
ACR1059,improved forest management,berkeley carbon trading project
ACR106,landfill methane,berkeley carbon trading project
ACR1060,hfc refrigerant reclamation,berkeley carbon trading project
ACR1061,wetland restoration,berkeley carbon trading project
ACR1063,improved forest management,berkeley carbon trading project
ACR1064,landfill methane,berkeley carbon trading project
ACR1066,hfc refrigerant reclamation,berkeley carbon trading project
ACR1067,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR1068,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR1069,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR107,fuel switching,berkeley carbon trading project
ACR1072,plugging oil & gas wells,berkeley carbon trading project
ACR1073,improved forest management,berkeley carbon trading project
ACR1074,improved forest management,berkeley carbon trading project
ACR1075,improved forest management,berkeley carbon trading project
ACR1076,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR1078,advanced refrigerants,berkeley carbon trading project
ACR1079,advanced refrigerants,berkeley carbon trading project
ACR1080,advanced refrigerants,berkeley carbon trading project
ACR1084,plugging oil & gas wells,berkeley carbon trading project
ACR1086,improved forest management,berkeley carbon trading project
ACR1088,advanced refrigerants,berkeley carbon trading project
ACR109,pneumatic retrofit,berkeley carbon trading project
ACR1090,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR1093,plugging oil & gas wells,berkeley carbon trading project
ACR1097,hfc refrigerant reclamation,berkeley carbon trading project
ACR110,landfill methane,berkeley carbon trading project
ACR111,pneumatic retrofit,berkeley carbon trading project
ACR112,landfill methane,berkeley carbon trading project
ACR113,landfill methane,berkeley carbon trading project
ACR114,afforestation/reforestation,berkeley carbon trading project
ACR115,afforestation/reforestation,berkeley carbon trading project
ACR116,afforestation/reforestation,berkeley carbon trading project
ACR117,carbon capture & enhanced oil recovery,berkeley carbon trading project
ACR118,carbon capture & enhanced oil recovery,berkeley carbon trading project
ACR119,landfill methane,berkeley carbon trading project
ACR120,carbon capture & enhanced oil recovery,berkeley carbon trading project
ACR121,carbon capture & enhanced oil recovery,berkeley carbon trading project
ACR122,landfill methane,berkeley carbon trading project
ACR123,carbon capture & enhanced oil recovery,berkeley carbon trading project
ACR124,fleet efficiency,berkeley carbon trading project
ACR125,solar - distributed,berkeley carbon trading project
ACR126,landfill methane,berkeley carbon trading project
ACR127,landfill methane,berkeley carbon trading project
ACR128,landfill methane,berkeley carbon trading project
ACR129,solar - distributed,berkeley carbon trading project
ACR130,truck stop electrification,berkeley carbon trading project
ACR131,truck stop electrification,berkeley carbon trading project
ACR132,truck stop electrification,berkeley carbon trading project
ACR133,truck stop electrification,berkeley carbon trading project
ACR134,truck stop electrification,berkeley carbon trading project
ACR135,truck stop electrification,berkeley carbon trading project
ACR136,truck stop electrification,berkeley carbon trading project
ACR137,truck stop electrification,berkeley carbon trading project
ACR138,truck stop electrification,berkeley carbon trading project
ACR139,truck stop electrification,berkeley carbon trading project
ACR140,truck stop electrification,berkeley carbon trading project
ACR141,truck stop electrification,berkeley carbon trading project
ACR142,truck stop electrification,berkeley carbon trading project
ACR143,truck stop electrification,berkeley carbon trading project
ACR144,truck stop electrification,berkeley carbon trading project
ACR145,truck stop electrification,berkeley carbon trading project
ACR146,truck stop electrification,berkeley carbon trading project
ACR147,truck stop electrification,berkeley carbon trading project
ACR148,truck stop electrification,berkeley carbon trading project
ACR149,truck stop electrification,berkeley carbon trading project
ACR150,truck stop electrification,berkeley carbon trading project
ACR151,truck stop electrification,berkeley carbon trading project
ACR152,truck stop electrification,berkeley carbon trading project
ACR153,truck stop electrification,berkeley carbon trading project
ACR154,truck stop electrification,berkeley carbon trading project
ACR155,truck stop electrification,berkeley carbon trading project
ACR156,truck stop electrification,berkeley carbon trading project
ACR157,truck stop electrification,berkeley carbon trading project
ACR158,truck stop electrification,berkeley carbon trading project
ACR159,truck stop electrification,berkeley carbon trading project
ACR160,methane recovery in wastewater,berkeley carbon trading project
ACR161,landfill methane,berkeley carbon trading project
ACR162,energy efficiency,berkeley carbon trading project
ACR163,landfill methane,berkeley carbon trading project
ACR164,landfill methane,berkeley carbon trading project
ACR165,fuel switching,berkeley carbon trading project
ACR167,n2o destruction in adipic acid production,berkeley carbon trading project
ACR168,afforestation/reforestation,berkeley carbon trading project
ACR170,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR171,nitrogen management,berkeley carbon trading project
ACR172,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR173,improved forest management,berkeley carbon trading project
ACR174,improved forest management,berkeley carbon trading project
ACR175,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR176,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR177,hydropower,berkeley carbon trading project
ACR178,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR179,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR181,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR182,improved forest management,berkeley carbon trading project
ACR183,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR184,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR186,afforestation/reforestation,berkeley carbon trading project
ACR187,afforestation/reforestation,berkeley carbon trading project
ACR188,truck stop electrification,berkeley carbon trading project
ACR189,improved forest management,berkeley carbon trading project
ACR190,manure methane digester,berkeley carbon trading project
ACR191,wind,berkeley carbon trading project
ACR192,improved forest management,berkeley carbon trading project
ACR193,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR195,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR196,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR197,afforestation/reforestation,berkeley carbon trading project
ACR198,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR199,improved forest management,berkeley carbon trading project
ACR200,improved forest management,berkeley carbon trading project
ACR202,improved forest management,berkeley carbon trading project
ACR203,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR204,fleet efficiency,berkeley carbon trading project
ACR205,rice emission reductions,berkeley carbon trading project
ACR206,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR207,fleet efficiency,berkeley carbon trading project
ACR208,ozone depleting substances recovery & destruction,berkeley carbon trading project
ACR209,improved forest management,berkeley carbon trading project
ACR210,improved forest management,berkeley carbon trading project
ACR211,improved forest management,berkeley carbon trading project
ACR212,improved forest management,berkeley carbon trading project
ACR213,ozone depleting substances recovery & destruction,berkeley carbon trading project
